"SHORT_CODE","START_DATE","EVENT_TYPE","CALL_TYPE","EVENT_STATUS","SUBSCRIBER_TYPE","KEYWORD","NB_TAXATION"
"2168000",10/05/2026,"74","VAS","Success","HYB","tts",151
"2168590602",10/05/2026,"75","VAS","Success","PREPAID","_N",9329
"21685353",10/05/2026,"75","VAS","Success","PREPAID","_N",6365
"21685098",10/05/2026,"75","VAS","Success","PREPAID","_N",8333
"21685857",10/05/2026,"75","VAS","Success","HYB","_N",158
"21685098",10/05/2026,"75","VAS","Success","HYB","_N",768
"2168000",10/05/2026,"74","VAS","Success","PREPAID","viu1",1798
"2168000",10/05/2026,"74","VAS","Success","HYB","sh2",6
"21685988",10/05/2026,"74","VAS","Success","PREPAID","_N",83
"2168000",10/05/2026,"74","VAS","Success","HYB","qe1",14
"2168560602",10/05/2026,"75","VAS","Success","PREPAID","_N",3172
"2168000",10/05/2026,"74","VAS","Success","HYB","mel1",16
"2168000",10/05/2026,"74","VAS","Success","PREPAID","ds",616
"216855194",10/05/2026,"75","VAS","Success","PREPAID","_N",209
"216855202",10/05/2026,"75","VAS","Success","PREPAID","_N",2
"2168000",11/05/2026,"74","VAS","Success","PREPAID","kow",27141
"2168000",11/05/2026,"74","VAS","Success","PREPAID","cf",4459
"2168000",11/05/2026,"74","VAS","Success","PREPAID","sw1",7106
"2168000",11/05/2026,"74","VAS","Success","HYB","es1",358
"2168000",11/05/2026,"74","VAS","Success","HYB","cpr",541
"2168000",11/05/2026,"74","VAS","Success","PREPAID","kid1",964
"2168000",11/05/2026,"74","VAS","Success","HYB","ra1",284
"2168000",11/05/2026,"74","VAS","Success","PREPAID","est1",1485
"2168000",11/05/2026,"74","VAS","Success","PREPAID","lig1",4408
"2168000",11/05/2026,"74","VAS","Success","POSTPAID","mb1",60
"2168000",11/05/2026,"74","VAS","Success","POSTPAID","cpr",4
"2168000",11/05/2026,"74","VAS","Success","PREPAID","raf1",817
"2168000",11/05/2026,"74","VAS","Success","PREPAID","mo1",1045
"2168000",11/05/2026,"74","VAS","Success","HYB","taw1",623
"21685085",11/05/2026,"74","VAS","Success","PREPAID","_N",257
"2168000",11/05/2026,"74","VAS","Success","PREPAID","mo2",8
"2168000",11/05/2026,"74","VAS","Success","PREPAID","dsc",20
"21685515",11/05/2026,"75","VAS","Success","PREPAID","_N",3747
"2168000",11/05/2026,"74","VAS","Success","POSTPAID","fof1",6
"2168000",11/05/2026,"74","VAS","Success","POSTPAID","kow",1
"2168000",11/05/2026,"74","VAS","Success","POSTPAID","ra1",1
"21685353",11/05/2026,"75","VAS","Success","HYB","_N",415
"21685510",11/05/2026,"74","VAS","Success","HYB","_N",6
"21685401",11/05/2026,"74","VAS","Success","PREPAID","_N",1
"21685230",11/05/2026,"74","VAS","Success","HYB","_N",6
"21685351",11/05/2026,"75","VAS","Success","PREPAID","_N",1040
"21685353",11/05/2026,"74","VAS","Success","PREPAID","_N",5
"21685035",11/05/2026,"74","VAS","Success","HYB","_N",11
"21685004",11/05/2026,"74","VAS","Success","HYB","_N",3
"2168000",11/05/2026,"74","VAS","Success","POSTPAID","qe3",3
"2168000",12/05/2026,"74","VAS","Success","PREPAID","rtt1",13697
"2168000",12/05/2026,"74","VAS","Success","PREPAID","mb1",38135
"2168000",12/05/2026,"74","VAS","Success","HYB","kow3",479
"2168000",12/05/2026,"74","VAS","Success","PREPAID","fig",7534
"2168000",12/05/2026,"74","VAS","Success","PREPAID","ouk1",7438
"2168000",12/05/2026,"74","VAS","Success","PREPAID","exs1",465
"2168000",12/05/2026,"74","VAS","Success","PREPAID","fig2",1255
"2168000",12/05/2026,"74","VAS","Success","PREPAID","raf",12811
"2168000",12/05/2026,"74","VAS","Success","HYB","tts",161
"2168000",12/05/2026,"74","VAS","Success","HYB","exs1",39
"2168000",12/05/2026,"74","VAS","Success","PREPAID","vib1",3
"216853771",12/05/2026,"75","VAS","Success","PREPAID","_N",4464
"2168560601",12/05/2026,"75","VAS","Success","PREPAID","_N",4849
"2168000",12/05/2026,"74","VAS","Success","HYB","qe3",97
"2168000",12/05/2026,"74","VAS","Success","PREPAID","se1",5228
"2168000",12/05/2026,"74","VAS","Success","HYB","mo1",66
"2168000",12/05/2026,"74","VAS","Success","POSTPAID","elj1",1
"2168000",12/05/2026,"74","VAS","Success","HYB","raf1",26
"21685555",12/05/2026,"74","VAS","Success","PREPAID","_N",21
"21685857",12/05/2026,"75","VAS","Success","HYB","_N",137
"21685856",12/05/2026,"75","VAS","Success","HYB","_N",188
"21685035",12/05/2026,"74","VAS","Success","PREPAID","_N",38
"2168000",12/05/2026,"74","VAS","Success","HYB","dst",5
"21685220",12/05/2026,"75","VAS","Success","PREPAID","_N",9079
"21685220",12/05/2026,"75","VAS","Success","HYB","_N",276
"21685353",12/05/2026,"75","VAS","Success","PREPAID","_N",6762
"216855193",12/05/2026,"75","VAS","Success","HYB","_N",57
"2168000",12/05/2026,"74","VAS","Success","HYB","dsc",1
"21685035",12/05/2026,"74","VAS","Success","HYB","_N",8
"21685353",12/05/2026,"74","VAS","Success","PREPAID","_N",9
"2168000",12/05/2026,"74","VAS","Success","HYB","nj2",4
"21685510",12/05/2026,"74","VAS","Success","HYB","_N",2
"21687012",12/05/2026,"74","VAS","Success","PREPAID","_N",1
"216855194",12/05/2026,"75","VAS","Success","PREPAID","_N",198
"21685940",12/05/2026,"74","VAS","Success","PREPAID","_N",1
"2168000",12/05/2026,"74","VAS","Success","PREPAID","bus2",2
"21685351",12/05/2026,"74","VAS","Success","PREPAID","_N",1
"2168000",13/05/2026,"74","VAS","Success","PREPAID","9is",7245
"2168000",13/05/2026,"74","VAS","Success","PREPAID","ra1",3285
"2168000",13/05/2026,"74","VAS","Success","PREPAID","kow3",9649
"2168000",13/05/2026,"74","VAS","Success","PREPAID","gm",9573
"2168000",13/05/2026,"74","VAS","Success","PREPAID","plw1",20397
"2168000",13/05/2026,"74","VAS","Success","PREPAID","kid1",953
"2168000",13/05/2026,"74","VAS","Success","HYB","kow3",492
"2168000",13/05/2026,"74","VAS","Success","HYB","mb1",3882
"2168000",13/05/2026,"74","VAS","Success","POSTPAID","fig",4
"21685550",12/05/2026,"74","VAS","Success","PREPAID","_N",1
"21685555",12/05/2026,"74","VAS","Success","HYB","_N",1
"21685550",12/05/2026,"74","VAS","Success","HYB","_N",1
"216855201",13/05/2026,"75","VAS","Success","HYB","_N",1481
"21685990",13/05/2026,"74","VAS","Success","PREPAID","_N",8
"21685001",13/05/2026,"75","VAS","Success","PREPAID","_N",823
"2168000",13/05/2026,"74","VAS","Success","PREPAID","vib1",3
"2168000",13/05/2026,"74","VAS","Success","POSTPAID","plw1",26
"2168000",13/05/2026,"74","VAS","Success","PREPAID","se1",5276
"21685012",13/05/2026,"74","VAS","Success","PREPAID","_N",1
"21685230",13/05/2026,"74","VAS","Success","PREPAID","_N",18
"2168000",13/05/2026,"74","VAS","Success","PREPAID","mel1",1965
"2168590601",13/05/2026,"75","VAS","Success","HYB","_N",531
"2168590604",13/05/2026,"75","VAS","Success","HYB","_N",68
"21685198",13/05/2026,"75","VAS","Success","PREPAID","_N",2864
"2168000",13/05/2026,"74","VAS","Success","PREPAID","dst",68
"2168000",13/05/2026,"74","VAS","Success","HYB","mel1",46
"21685455",13/05/2026,"74","VAS","Success","HYB","_N",226
"21685455",13/05/2026,"74","VAS","Success","PREPAID","_N",381
"21685988",13/05/2026,"74","VAS","Success","HYB","_N",18
"216855194",13/05/2026,"75","VAS","Success","HYB","_N",5
"21685455",13/05/2026,"74","VAS","Success","POSTPAID","_N",1
"21685000",13/05/2026,"74","VAS","Success","PREPAID","_N",1
"21685510",13/05/2026,"74","VAS","Success","HYB","_N",6
"21685004",13/05/2026,"74","VAS","Success","HYB","_N",1
"2168000",13/05/2026,"74","VAS","Success","PREPAID","ich1",1
"2168000",14/05/2026,"74","VAS","Success","PREPAID","plw1",20749
"2168000",14/05/2026,"74","VAS","Success","PREPAID","sw1",7448
"2168000",14/05/2026,"74","VAS","Success","PREPAID","rtt1",14541
"2168000",14/05/2026,"74","VAS","Success","PREPAID","es1",7788
"2168000",14/05/2026,"74","VAS","Success","PREPAID","nj1",3368
"2168000",14/05/2026,"74","VAS","Success","HYB","sw1",138
"2168000",14/05/2026,"74","VAS","Success","PREPAID","viu1",1843
"2168000",14/05/2026,"74","VAS","Success","POSTPAID","esl1",2
"2168000",14/05/2026,"74","VAS","Success","POSTPAID","kid1",1
"2168000",14/05/2026,"74","VAS","Success","PREPAID","est1",1477
"2168000",21/05/2026,"74","VAS","Success","PREPAID","cf",5153
"2168560601",14/05/2026,"75","VAS","Success","HYB","_N",157
"2168590603",14/05/2026,"75","VAS","Success","PREPAID","_N",4314
"2168000",14/05/2026,"74","VAS","Success","HYB","smt1",605
"2168000",14/05/2026,"74","VAS","Success","PREPAID","tth",1149
